Model;Link;Price usd($);Price UAH;City
Volvo XC90 2021Inscription B5 2.0D 8AT (249 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1810296.html;76 175 $;2 060 371 грн;Днепр (Днепропетровск)
Volvo V90 2020Pro B5 2.0 8AT (250 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-v90-1810292.html;60 951 $;1 648 616 грн;Днепр (Днепропетровск)
Volvo XC90 2020Momentum B5 2.0 8AT (249 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1857117.html;68 887 $;1 863 251 грн;Киев
Volvo XC90 2020Momentum B5 2.0 8AT (249 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1855293.html;68 145 $;1 843 189 грн;Херсон
Volvo XC90 2020Momentum B5 2.0 8AT (249 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1847928.html;62 082 $;1 679 187 грн;Днепр (Днепропетровск)
Volvo XC40 2020R-Design B4 2.0 AT (197 л.с.) MHEV AWD;https://auto.ria.com/newauto/auto-volvo-xc40-1846082.html;54 971 $;1 486 843 грн;Днепр (Днепропетровск)
Volvo XC90 2021Inscription B5 2.0D 8AT (235 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1862335.html;76 175 $;2 060 371 грн;Одесса
Volvo XC90 2021Momentum B5 2.0 8AT (249 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1862453.html;59 951 $;1 721 096 грн;Чубинское
Volvo XC40 2020Momentum Pro D3 2.0 AT (150 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc40-1853038.html;47 491 $;1 284 532 грн;Киев
Volvo XC90 2020R-Design T8 2.0 AT (390 л.с.) Hybrid AWD 7s;https://auto.ria.com/newauto/auto-volvo-xc90-1863160.html;80 990 $;2 190 618 грн;Полтава
Volvo XC90 2021Momentum B5 2.0 8AT (249 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1861756.html;65 520 $;1 772 174 грн;Полтава
Volvo XC90 2020KERS Momentum Pro B5 2.0D 8AT (235 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1857999.html;68 145 $;1 843 189 грн;Полтава
