Model;Link;Price usd($);Price UAH;City
Hyundai Kona 2020Premium Electric 64 kWh 2-tone;https://auto.ria.com/newauto/auto-hyundai-kona-1850782.html;43 833 $;1 185 600 грн;Киев
Hyundai Tucson 2021Dynamic 1.6 CRDi 7DCT (136 л.с.);https://auto.ria.com/newauto/auto-hyundai-tucson-1857551.html;32 834 $;888 100 грн;Ивано-Франковск
Hyundai Tucson 2021Top 2.0 MPi AT (156 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1862138.html;36 879 $;997 500 грн;Чернигов
Hyundai Tucson 2021Elegance 1.6 T-GDi HEV AT (230 л.с.);https://auto.ria.com/newauto/auto-hyundai-tucson-1863819.html;39 984 $;1 081 500 грн;Черкассы
Hyundai Tucson 2021Dynamic 2.0 MPi AT (156 л.с.);https://auto.ria.com/newauto/auto-hyundai-tucson-1856776.html;29 100 $;787 100 грн;Винница
Hyundai Tucson 2021Dynamic 2.0 MPi AT (156 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1862738.html;30 864 $;834 800 грн;Киев
Hyundai i30 2021Classic 1.5 DPi AT (110 л.с.);https://auto.ria.com/newauto/auto-hyundai-i30-1862184.html;19 103 $;516 700 грн;Запорожье
Hyundai Tucson 2021Elegance 1.6 T-GDi HEV AT (230 л.с.);https://auto.ria.com/newauto/auto-hyundai-tucson-1862166.html;39 984 $;1 081 500 грн;Запорожье
Hyundai Santa FE 2021Top SE 2.2 CRDi Smartstream 8DCT (202 л.с.) AWD;https://auto.ria.com/newauto/auto-hyundai-santa-fe-1862895.html;57 616 $;1 558 400 грн;Киев
Hyundai Tucson 2021Dynamic 2.0 MPi AT (156 л.с.);https://auto.ria.com/newauto/auto-hyundai-tucson-1858012.html;27 813 $;787 100 грн;Киев
Hyundai Tucson 2021Dynamic 1.6 CRDi 7DCT (136 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1859359.html;34 583 $;935 400 грн;Запорожье
