Model;Link;Price usd($);Price UAH;City
Mitsubishi ASX 2021Instyle 2.0 CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-asx-1862533.html;27 618 $;747 000 грн;Кривой Рог
Mitsubishi Pajero Sport 2021Intense 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1857154.html;46 473 $;1 257 000 грн;Харьков
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1840945.html;28 015 $;762 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Instyle 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1859711.html;30 353 $;821 000 грн;Харьков
Mitsubishi L 200 2021Invite New 2.4 DI-D MT (154 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-l-200-1859379.html;34 716 $;939 000 грн;Черновцы
Mitsubishi Outlander 2021Ultimate 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1860558.html;33 607 $;909 000 грн;Одесса
Mitsubishi Pajero Sport 2021Intense 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1836721.html;46 473 $;1 257 000 грн;Харьков
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1811932.html;28 172 $;762 000 грн;Харьков
Mitsubishi Outlander 2021Instyle 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1861372.html;30 184 $;821 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Instyle 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1861353.html;30 184 $;821 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Ultimate 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1814309.html;33 420 $;909 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Ultimate 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1749430.html;33 420 $;909 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Ultimate 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1762585.html;33 420 $;909 000 грн;Днепр (Днепропетровск)
Mitsubishi Pajero Sport 2021Intense 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1839770.html;46 473 $;1 257 000 грн;Харьков
Mitsubishi Pajero Sport 2021Intense 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1830067.html;46 473 $;1 257 000 грн;Харьков
Mitsubishi Eclipse Cross 2021Intense 2.0 MIVEC CVT (150 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-eclipse-cross-1862417.html;27 765 $;751 000 грн;Харьков
Mitsubishi L 200 2021Invite New 2.4 DI-D MT (154 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-l-200-1784930.html;34 523 $;939 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Instyle 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1858964.html;30 353 $;821 000 грн;Черновцы
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1861471.html;28 567 $;777 000 грн;Днепр (Днепропетровск)
Mitsubishi Pajero Sport 2021Intense 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1830654.html;46 214 $;1 257 000 грн;Днепр (Днепропетровск)
Mitsubishi ASX 2020Instyle 2.0 CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-asx-1854178.html;26 619 $;720 000 грн;Кривой Рог
Mitsubishi Outlander 2020Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1848676.html;28 431 $;769 000 грн;Винница
Mitsubishi Pajero Sport 2021Ultimate 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1844115.html;50 442 $;1 372 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1861391.html;28 567 $;777 000 грн;Днепр (Днепропетровск)
Mitsubishi Pajero Sport 2020Intense 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1841401.html;46 765 $;1 272 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Ultimate 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1788713.html;33 420 $;909 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2020Ultimate 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1847487.html;31 426 $;850 000 грн;Кривой Рог
Mitsubishi Eclipse Cross 2021Invite 2.0 MIVEC CVT (150 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-eclipse-cross-1863017.html;23 773 $;643 000 грн;Харьков
Mitsubishi Pajero Sport 2021Ultimate 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1863939.html;50 725 $;1 372 000 грн;Херсон
Mitsubishi L 200 2021Invite New 2.4 DI-D MT (154 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-l-200-1807360.html;34 716 $;939 000 грн;Киев
Mitsubishi L 200 2021Intense New 2.4 DI-D MT (154 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-l-200-1830780.html;37 489 $;1 014 000 грн;Харьков
Mitsubishi Outlander 2021Invite 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1861623.html;24 964 $;679 000 грн;Днепр (Днепропетровск)
Mitsubishi Pajero Sport 2021Ultimate 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1859665.html;51 224 $;1 385 500 грн;Одесса
Mitsubishi ASX 2021Invite 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-asx-1850262.html;21 406 $;579 000 грн;Ивано-Франковск
Mitsubishi Outlander 2021Invite 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1811931.html;25 104 $;679 000 грн;Харьков
Mitsubishi Outlander 2021Instyle 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1859167.html;30 853 $;834 500 грн;Одесса
Mitsubishi Eclipse Cross 2021Intense 2.0 MIVEC CVT (150 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-eclipse-cross-1861446.html;27 544 $;745 000 грн;Николаев
