Model;Link;Price usd($);Price UAH;City
Ford Ranger 2020XL+ Двойная 2.0D EcoBlue MT (170 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1851491.html;35 674 $;964 903 грн;Полтава
Ford Transit Custom 2020Trend DC F320 2.0D MT (130 л.с.) L2H1;https://auto.ria.com/newauto/auto-ford-transit-custom-1852174.html;36 145 $;977 641 грн;Полтава
Ford Transit Custom 2020Trend F320 2.0D MT (130 л.с.) L1H1;https://auto.ria.com/newauto/auto-ford-transit-custom-1839425.html;39 371 $;1 064 897 грн;Полтава
Ford Ranger 2021Raptor 2.0 EcoBlue AT (213 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1852617.html;74 208 $;2 007 190 грн;Киев
Ford Puma 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1851694.html;26 773 $;724 155 грн;Полтава
Ford Puma 2020ST-Line 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1864436.html;26 161 $;707 596 грн;Одесса
Ford Ranger 2020WildTrak Двойная 2.0D EcoBlue AT (213 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1857267.html;49 874 $;1 349 000 грн;Ивано-Франковск
Ford EcoSport 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1860385.html;20 519 $;555 000 грн;Ивано-Франковск
Ford Transit Custom 2019Amb Plus F340 2.0D MT (130 л.с.) L2H1;https://auto.ria.com/newauto/auto-ford-transit-custom-1826255.html;34 766 $;940 351 грн;Полтава
Ford Ranger 2020Limited Двойная 2.0D EcoBlue AT (213 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1832932.html;45 652 $;1 234 800 грн;Херсон
Ford Tourneo Custom 2021Titanium 2.0 TDI AT F320 (185 л.с.) L2H1;https://auto.ria.com/newauto/auto-ford-tourneo-custom-1859899.html;52 922 $;1 431 433 грн;Полтава
Ford EcoSport 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1852171.html;20 015 $;541 365 грн;Полтава
