Model;Link;Price usd($);Price UAH;City
Mercedes-Benz Vito груз. 2021109 CDI MT (88 л.с.) Long;https://auto.ria.com/newauto/auto-mercedes-benz-vito-gruz-1859656.html;31 671 $;856 630 грн;Киев
Mercedes-Benz V-Class 2021Rise V 220d AT (163 л.с.) Long 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-v-class-1855299.html;78 294 $;2 117 692 грн;Киев
Mercedes-Benz G-Class 2021Individual 400d AT (330 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1814941.html;140 788 $;3 808 025 грн;Львов
Mercedes-Benz S-Class 2021500 9G-Tronic (435 л.с.) Long 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1844614.html;223 696 $;6 050 518 грн;Киев
Mercedes-Benz G-Class 2021Base Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1850806.html;270 791 $;7 324 350 грн;Киев
Mercedes-Benz Sprinter груз. 2021base Long 311 2.2 CDi MT 2WD 4325mm;https://auto.ria.com/newauto/auto-mercedes-benz-sprinter-gruz-1851164.html;38 735 $;1 047 700 грн;Днепр (Днепропетровск)
Mercedes-Benz Arocs 2017Individual 2042 LS AT (421 л.с.) 4х2;https://auto.ria.com/newauto/auto-mercedes-benz-arocs-1855609.html;82 415 $;2 229 150 грн;Киев
Mercedes-Benz S-Class 2021500 9G-Tronic (435 л.с.) Long 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1864399.html;209 833 $;5 675 552 грн;Киев
Mercedes-Benz GLE-Class 2021300d AT (245 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1860458.html;84 290 $;2 279 879 грн;Днепр (Днепропетровск)
Mercedes-Benz Vito груз. 2020109 CDI MT (88 л.с.) Long;https://auto.ria.com/newauto/auto-mercedes-benz-vito-gruz-1851395.html;31 788 $;859 815 грн;Киев
Mercedes-Benz GLE-Class 2021300d AT (245 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1864420.html;80 100 $;2 166 543 грн;Ужгород
Mercedes-Benz GLE-Class 2021400d AT (330 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1864402.html;116 070 $;3 139 453 грн;Киев
Mercedes-Benz Vito пасс. 2020base 114 CDI MT (136 л.с.) Tourer Pro Long;https://auto.ria.com/newauto/auto-mercedes-benz-vito-pass-1855341.html;43 209 $;1 168 711 грн;Киев
Mercedes-Benz G-Class 2021Base Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1855795.html;262 549 $;7 101 435 грн;Киев
Mercedes-Benz Maybach 2021GLS 600 AT (558 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-maybach-1820196.html;329 658 $;8 916 600 грн;Киев
Mercedes-Benz GLE-Class 2021Individual Coupe 400d AT (330 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1864068.html;121 503 $;3 286 404 грн;Харьков
Mercedes-Benz S-Class 2020500 9G-Tronic (435 л.с.) Long 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1858511.html;190 484 $;5 152 202 грн;Киев
Mercedes-Benz S-Class 2020500 9G-Tronic (435 л.с.) Long 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1853102.html;195 894 $;5 298 530 грн;Киев
Mercedes-Benz GLE-Class 2021300d AT (245 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1864318.html;79 308 $;2 145 111 грн;Херсон
Mercedes-Benz G-Class 2020500 AT (422 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1855464.html;178 901 $;4 838 911 грн;Киев
Mercedes-Benz S-Class 2021400d 9G-Tronic (330 л.с.) Long 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1854216.html;217 810 $;5 891 325 грн;Киев
Mercedes-Benz AMG GT 2021Mercedes-AMG GT4 63s AT (639 л.с.) 4Matic+;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1823561.html;259 016 $;7 005 868 грн;Киев
Mercedes-Benz Vito груз. 2020Individual 109 CDI MT (88 л.с.) Long;https://auto.ria.com/newauto/auto-mercedes-benz-vito-gruz-1832870.html;31 671 $;856 630 грн;Одесса
Mercedes-Benz Arocs 20172042 LS AT (421 л.с.) 4х2;https://auto.ria.com/newauto/auto-mercedes-benz-arocs-1857071.html;82 415 $;2 229 150 грн;Одесса
Mercedes-Benz E-Class 2020220d 9G-Tronic (194 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1851896.html;70 042 $;1 894 491 грн;Львов
Mercedes-Benz GLS-Class 2021400d AT (330 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1843719.html;147 169 $;3 980 625 грн;Киев
Mercedes-Benz GLC-Class 2021220d AT (194 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1863469.html;71 273 $;71 273 $;Одесса
Mercedes-Benz EQC 2021400 AT (408 л.с.) 80 kWh 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-eqc-1822110.html;82 413 $;2 229 118 грн;Киев
Mercedes-Benz S-Class 2021Individual 500 9G-Tronic (435 л.с.) Long 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1851758.html;234 293 $;6 337 155 грн;Киев
Mercedes-Benz G-Class 2021400d AT (340 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1832567.html;199 900 $;5 406 895 грн;Киев
Mercedes-Benz GLE-Class 2021Coupe AMG 53 AT (435 л.с.) 4Matic+;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1864406.html;155 817 $;4 214 529 грн;Киев
Mercedes-Benz Sprinter груз. 20212.2 CDi MT (114 л.с.) 2WD;https://auto.ria.com/newauto/auto-mercedes-benz-sprinter-gruz-1856689.html;38 735 $;1 047 700 грн;Киев
Mercedes-Benz V-Class 2020Rise V 220d AT (163 л.с.) Long 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-v-class-1857356.html;78 294 $;2 117 692 грн;Киев
Mercedes-Benz GLE-Class 2021Mercedes-AMG 53 AT (435 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1844250.html;135 395 $;3 662 175 грн;Киев
Mercedes-Benz GLC-Class 2020220d AT (194 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1854982.html;70 837 $;1 915 986 грн;Днепр (Днепропетровск)
Mercedes-Benz Maybach 2020G 650 Landaulet AT (630 л.с.);https://auto.ria.com/newauto/auto-mercedes-benz-maybach-1835147.html;1 377 501 $;37 258 649 грн;Киев
Mercedes-Benz GLE-Class 2021Coupe 400d AT (330 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1864048.html;121 503 $;3 286 404 грн;Харьков
Mercedes-Benz C-Class 2021180 EQ Boost 9G-Tronic (170 л.с.);https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1863658.html;50 836 $;1 375 003 грн;Одесса
Mercedes-Benz GLC-Class 2020base Mercedes-AMG 63 AT (476 л.с.) 4Matic+;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1835581.html;100 075 $;2 706 825 грн;Киев
Mercedes-Benz G-Class 2020350d AT (286 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1853194.html;179 999 $;4 868 613 грн;Киев
Mercedes-Benz GLE-Class 2021Individual 300d AT (245 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1863933.html;77 036 $;2 083 682 грн;Харьков
Mercedes-Benz V-Class 2021Avantgarde 300d AT (239 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-v-class-1857326.html;109 494 $;2 961 585 грн;Киев
Mercedes-Benz Vito груз. 2021109 CDI MT (88 л.с.) Long;https://auto.ria.com/newauto/auto-mercedes-benz-vito-gruz-1855492.html;31 671 $;856 630 грн;Киев
Mercedes-Benz Arocs 20204142 K AT (421 л.с.) 8х4;https://auto.ria.com/newauto/auto-mercedes-benz-arocs-1860960.html;162 121 $;4 385 056 грн;Львов
