Model;Link;Price usd($);Price UAH;City
BMW X5 2021base 25d Steptronic (231 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1858469.html;75 253 $;2 035 438 грн;Житомир
BMW X4 2021base 20d AT (190 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x4-1863518.html;68 412 $;1 850 409 грн;Житомир
BMW X7 2021base M50d Steptronic (400 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x7-1855562.html;140 500 $;3 800 255 грн;Львов
BMW X5 2021base 25d Steptronic (231 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1863305.html;70 938 $;1 918 725 грн;Полтава
BMW X6 2021base 40i Stepotronic (340 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-1863465.html;104 047 $;2 814 270 грн;Полтава
BMW X5 2021base 40i Steptronic (340 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1863513.html;123 789 $;3 348 247 грн;Полтава
BMW X5 2020base 25d Steptronic (231 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1852364.html;74 173 $;2 006 235 грн;Запорожье
BMW 5 Series 2021520i Steptronic (184 л.с.);https://auto.ria.com/newauto/auto-bmw-5-series-1863510.html;54 312 $;1 469 042 грн;Полтава
BMW X5 2021base 25d Steptronic (231 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1860879.html;81 944 $;2 216 412 грн;Полтава
BMW X4 2021base 20d AT (190 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x4-1863558.html;66 367 $;1 795 103 грн;Полтава
BMW X4 2021base 20d AT (190 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x4-1863283.html;66 367 $;1 795 103 грн;Полтава
BMW X5 2021base 25d Steptronic (231 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1862817.html;68 286 $;1 847 010 грн;Запорожье
BMW X4 2021base 20i AT (184 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x4-1863911.html;61 222 $;1 655 940 грн;Запорожье
BMW X5 2021base 25d Steptronic (231 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1863899.html;68 757 $;1 859 748 грн;Запорожье
BMW F Series 2020900 XR;https://auto.ria.com/newauto/auto-bmw-f-series-1862378.html;16 130 $;436 276 грн;Запорожье
BMW R Series 2021R nine T Scrambler;https://auto.ria.com/newauto/auto-bmw-r-series-1862400.html;19 191 $;519 073 грн;Запорожье
