Model;Link;Price usd($);Price UAH;City
Subaru Outback 2021Touring 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1862093.html;48 802 $;1 320 000 грн;Киев
Subaru XV 2021Active 2.0i CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1836293.html;33 256 $;899 500 грн;Одесса
Subaru Forester 2021Premium 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1817194.html;44 099 $;1 192 800 грн;Одесса
Subaru Forester 2021Active 2.0i-L CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1857928.html;32 487 $;878 700 грн;Киев
Subaru Forester 2021Sport 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1858636.html;41 412 $;1 120 100 грн;Харьков
Subaru Forester 2021Active 2.0i-L CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1862512.html;31 999 $;865 500 грн;Херсон
Subaru Forester 2021Touring 2.0i-L ES CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1847333.html;38 073 $;1 029 800 грн;Киев
Subaru Forester 2021Premium 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1850227.html;44 092 $;1 192 600 грн;Киев
Subaru Forester 2021Active 2.0i-L CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1860334.html;31 999 $;865 500 грн;Днепр (Днепропетровск)
Subaru Forester 2021Premium 2.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1862406.html;44 506 $;1 203 800 грн;Херсон
Subaru Forester 2021Premium 2.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1860679.html;44 506 $;1 203 800 грн;Киев
Subaru Forester 2021Touring 2.0i-L ES CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1855465.html;41 412 $;1 120 100 грн;Харьков
Subaru Forester 2021SK7AL9L 2.0 CVT (150 л.с.);https://auto.ria.com/newauto/auto-subaru-forester-1836292.html;38 073 $;1 029 800 грн;Одесса
