Model;Link;Price usd($);Price UAH;City
Mazda CX-30 2021Executive 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1860098.html;30 071 $;811 900 грн;Полтава
Mazda CX-30 2021Style 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1859639.html;28 019 $;756 500 грн;Полтава
Mazda CX-30 2021Style 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1843322.html;27 969 $;756 500 грн;Харьков
Mazda CX-5 2021Touring S 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1859947.html;29 906 $;808 900 грн;Харьков
Mazda CX-3 2021Style + 2.0 SkyActiv-G АТ (121 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-3-1859640.html;28 408 $;767 000 грн;Полтава
Mazda CX-30 2021Style 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1862586.html;27 969 $;756 500 грн;Днепр (Днепропетровск)
Mazda CX-30 2021Style 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1859193.html;27 969 $;756 500 грн;Винница
Mazda 6 2021Style+ 2.5 AТ (194 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1859758.html;30 649 $;829 000 грн;Киев
Mazda 6 2021Touring 2.0 AТ (165 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1852132.html;27 322 $;739 000 грн;Харьков
Mazda CX-30 2021Style 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1848424.html;27 969 $;756 500 грн;Винница
Mazda CX-30 2021Executive 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1856361.html;30 017 $;811 900 грн;Винница
